check_id,record_id,stock_code,company_short,subscriber_name,subscription_amount_wan,subscription_shares_wan,disclosed_price_yuan,computed_price_yuan,abs_diff,status,note
SUB-301563-036,AUTO-SUB-301563-023,301563,云汉芯城,北京国科瑞华战略性新兴产业投资基金（有限合伙）,7412,254.4787,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-037,AUTO-SUB-301563-024,301563,云汉芯城,CASREV FUND II-USD L.P.,1800,61.8,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-038,AUTO-SUB-301563-025,301563,云汉芯城,中科贵银（贵州）产业投资基金（有限合伙）,1584,54.384,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-039,AUTO-SUB-301563-026,301563,云汉芯城,夏东,204,7.004,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-040,AUTO-SUB-301563-027,301563,云汉芯城,深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,3000,103,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-041,AUTO-SUB-301563-028,301563,云汉芯城,珠海拓域,1000,34.3333,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-042,AUTO-SUB-301563-029,301563,云汉芯城,李文发,20,20,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-043,AUTO-SUB-301563-030,301563,云汉芯城,秦国君,20,20,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-044,AUTO-SUB-301563-031,301563,云汉芯城,李剑峰,20,20,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-045,AUTO-SUB-301563-032,301563,云汉芯城,周雪峰,60,60,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-046,AUTO-SUB-301563-033,301563,云汉芯城,火炬电子,5000,113.0488,44.23,44.2287,0.0013,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-047,AUTO-SUB-301563-034,301563,云汉芯城,厦门西堤,5000,96.899,51.6,51.6001,0.0001,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-048,AUTO-SUB-301563-035,301563,云汉芯城,中小企业发展基金（深圳南山有限合伙）,2000,38.7596,51.6,51.6001,0.0001,PASS,披露单价与金额/股份数计算值一致。
SUB-301581-049,AUTO-SUB-301581-001,301581,黄山谷捷,深圳赛格高技术投资股份有限公司,,462.8571,22.42,,,INFO,金额或股份数未披露，单价不计算。
SUB-301581-050,AUTO-SUB-301581-002,301581,黄山谷捷,"SAIC TECHNOLOGIES FUND II, LLC",,51.4286,22.42,,,INFO,金额或股份数未披露，单价不计算。
SUB-301581-051,AUTO-SUB-301581-003,301581,黄山谷捷,黄山佳捷股权管理中心（有限合伙）,2124.8129,90.2256,23.55,23.55,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-052,AUTO-SUB-603418-001,603418,友升股份,金浦临港基金,7000,840,8.3333,8.3333,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-053,AUTO-SUB-603418-002,603418,友升股份,金浦科创基金,3000,360,8.3333,8.3333,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-054,AUTO-SUB-603418-003,603418,友升股份,上海骁墨,1500,180,8.3333,8.3333,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-055,AUTO-SUB-603418-004,603418,友升股份,杉晖创业,10000,297.3333,33.6323,33.6323,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-603418-056,AUTO-SUB-603418-005,603418,友升股份,上海联炻,10000,297.3333,33.6323,33.6323,0.0,PASS,披露单价与金额/股份数计算值一致。
