auto_id,record_id,sample_id,investor_name_pred,investor_type_pred,pe_fund_filing_code_pred,fund_manager_gp_pred,gp_registration_code_pred,source_pages,name_found_in_precise_excerpt,candidate_status,method
AUTO-030,GOLD-GEM002-015,GEM002,,PE基金,SJX381,深圳东方君源资产管理有限公司,P1022337,97;98,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-031,GOLD-GEM002-016,GEM002,,PE基金,SW1152,上海临港松江创业投资管理有限公司,P1063171,98,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-032,GOLD-GEM002-017,GEM002,,员工持股平台,,,,96,FALSE,exclude_not_pe,keyword_positioning_plus_markdown_excerpt_rules
AUTO-033,GOLD-STAR001-001,STAR001,,普通企业投资人,,,,76,FALSE,exclude_not_pe,keyword_positioning_plus_markdown_excerpt_rules
AUTO-034,GOLD-STAR001-002,STAR001,江苏国寿疌泉股权投资中心（有限合伙）,PE基金,SJZ124,,P1033329,84;85;86,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-035,GOLD-STAR001-003,STAR001,,证券公司私募/资管产品,S32514,华泰紫金投资有限责任公司,PT2600011618,84;85;86,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-036,GOLD-STAR001-004,STAR001,,PE基金,SED828,上海复星创富投资管理股份有限公司,P1000303,85;86,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-037,GOLD-STAR001-005,STAR001,,证券公司私募/资管产品,S32515,华泰紫金投资有限责任公司,PT2600011618,85;86,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-038,GOLD-STAR001-006,STAR001,,PE基金,SQS796,珠海高瓴股权投资管理有限公司,P1002820,85;86,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-039,GOLD-STAR001-007,STAR001,,PE基金,SCT216,上海健壹私募基金管理有限公司,P1000641,85;86,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-040,GOLD-STAR001-008,STAR001,,PE基金,SLX955,上海健壹私募基金管理有限公司,P1000641,85;86,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-041,GOLD-STAR001-009,STAR001,,PE基金,SNZ052,珠海夏尔巴股权投资管理有限公司,P1068644,85;86,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-042,GOLD-STAR001-010,STAR001,聚贝投资,PE基金,SK4536,北京宏儒和愉投资管理有限公司,P1025162,85;86,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-043,GOLD-STAR001-011,STAR001,苏州敦行价值创业投资合伙企业（有限合伙）,VC基金,SX2850,苏州敦行投资管理有限公司,P1064670,85;86,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-044,GOLD-STAR002-001,STAR002,,PE基金,SCU060,珠海铧盈投资有限公司,,109,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-045,GOLD-STAR002-002,STAR002,厦门富凯投资合伙企业,PE基金,S68363,厦门富凯海创投资管理有限公司,,109,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-046,GOLD-STAR002-003,STAR002,,PE基金,SS7512,深圳市招商金台资本管理有限责任公司,,109,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-047,GOLD-STAR002-004,STAR002,,PE基金,SW2464,深圳市领信基石股权投资基金管理合伙企业（有限合伙）,,109,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-048,GOLD-STAR002-005,STAR002,,PE基金,SEZ081,珠海佑柏私募基金管理有限公司,,109,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-049,GOLD-STAR002-006,STAR002,朗玛六号（北京）私募创业投资基金合伙企业（有限合伙）,VC基金,SEW534,朗玛峰创业投资有限公司,P1064801,92;94;109,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-050,GOLD-STAR002-007,STAR002,朗玛五号（北京）私募创业投资基金合伙企业（有限合伙）,VC基金,SEX757,朗玛峰创业投资有限公司,P1064801,90;92;109,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-051,GOLD-STAR002-008,STAR002,朗玛九号（深圳）创业投资中心（有限合伙）,VC基金,SEU290,朗玛峰创业投资有限公司,P1064801,94;96;109,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-052,GOLD-STAR002-009,STAR002,朗玛十四号（深圳）创业投资中心（有限合伙）,VC基金,SGP966,朗玛峰创业投资有限公司,P1064801,96;98;110,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-053,GOLD-STAR002-010,STAR002,,PE基金,SCM767,寿光市金投股权投资基金管理有限公司,,110,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-054,GOLD-STAR002-011,STAR002,珠海华金创盈三号股权投资基金合伙企业（有限合伙）,PE基金,SET027,珠海华金领创基金管理有限公司,,103;104;110,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-055,GOLD-STAR002-012,STAR002,,PE基金,SEF093,广东禾一泽成私募基金管理有限公司,,105;110,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-056,GOLD-STAR002-013,STAR002,,证券公司私募/资管产品,S32436,中信金石投资有限公司,,110,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-057,GOLD-STAR002-014,STAR002,,员工持股平台,,深圳斓枫科技有限公司,,77;78,FALSE,exclude_not_pe,keyword_positioning_plus_markdown_excerpt_rules
AUTO-058,GOLD-BSE001-001,BSE001,,VC基金,SNG030,深圳市稳正资产管理有限公司,P1003586,35;37;39,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-059,GOLD-BSE001-002,BSE001,长泽创投,VC基金,SVU935,深圳市稳正资产管理有限公司,P1003586,37;39,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-060,GOLD-BSE002-001,BSE002,哈尔滨普拉特企业管理咨询有限合伙企业,员工持股平台,,王飞山,,39;40;41;48,TRUE,exclude_not_pe,keyword_positioning_plus_markdown_excerpt_rules
AUTO-061,GOLD-BSE002-002,BSE002,融汇工创,普通企业投资人,,,,发行前前十名股东,FALSE,exclude_not_pe,keyword_positioning_plus_markdown_excerpt_rules
