stock_code,company_short,market,broad_pevc_record_share,pevc_strength_index,top1_ratio_pct,effective_shareholder_count,quality_gate
001282,三联锻造,主板,22.22,20.169,26.91,4.236,通过
301563,云汉芯城,创业板,53.05,67.135,33.03,6.68,通过
301581,黄山谷捷,创业板,50.0,41.923,51.87,2.866,通过
603418,友升股份,主板,31.11,33.315,61.99,2.439,通过
688758,赛分科技,科创板,6.75,4.725,,,谨慎使用
688775,影石创新,科创板,3.7,4.898,29.9376,7.465,通过
920100,三协电机,北交所,11.11,12.392,62.97,2.246,通过
920116,星图测控,北交所,36.84,32.711,46.36,3.19,通过
