stock_code,company_short,market,has_vc_or_pe,vc_record_count,pe_record_count,broad_pevc_record_count,broad_pevc_record_share,pevc_intensity_level,distinct_investor_type_count,transfer_event_count,week8_p1_item_count,week9_closed_p1_count,week9_unresolved_p1_count,top1_ratio_pct,top3_ratio_pct,hhi,effective_shareholder_count,broad_pevc_holder_count,broad_pevc_ratio_sum_pct,dispersion_level,week9_research_note
001282,三联锻造,主板,1,4,0,8,22.22,低,4,0,0,0,0,26.91,80.45,0.236097,4.236,2,17.63,中等集中,可用于描述性统计
603418,友升股份,主板,1,0,14,14,31.11,中,3,0,0,0,0,61.99,81.46,0.410079,2.439,5,21.68,较集中,可用于描述性统计
301563,云汉芯城,创业板,1,49,14,87,53.05,高,5,1,0,0,0,33.03,56.5,0.149691,6.68,13,37.56,中等集中,可用于描述性统计
301581,黄山谷捷,创业板,0,0,0,12,50.0,高,3,0,5,5,0,51.87,84.84,0.348871,2.866,3,82.52,较集中,部分历史时点比例未披露
688758,赛分科技,科创板,1,0,22,22,6.75,低,3,0,3,2,0,,,,,,,比例披露不足,存在比例合计异常时点，已在派生统计剔除
688775,影石创新,科创板,1,0,3,3,3.7,低,3,1,0,0,0,29.9376,52.6616,0.133955,7.465,1,0.625,中等集中,可用于描述性统计
920100,三协电机,北交所,1,4,0,4,11.11,低,2,0,0,0,0,62.97,91.62,0.445208,2.246,2,13.77,较集中,可用于描述性统计
920116,星图测控,北交所,0,0,0,7,36.84,中,4,2,0,0,0,46.36,85.91,0.313513,3.19,3,61.12,较集中,可用于描述性统计
