table_name,row_count
week13_auto_evidence_candidates,301
week13_chapter_locator,48
week13_company_progress,12
week13_event_summary,5
week13_investor_profile,52
week13_investor_type_rules,7
week13_manual_review_queue,28
week13_old_new_crosscheck,12
week13_selected_companies,12
week13_validation_summary,8
week13_weekly_plan,7
