company_name,stock_code,file_name,parser,parse_time,page_count,markdown_path,status,error_message
捷众科技,920690,W3-2024-BSE001_920690.pdf,pypdf,2026-06-18T17:30:21,253,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE001_920690.txt,success,text_scope=first_180_pages_of_253
云星宇,920806,W3-2024-BSE002_920806.pdf,pypdf,2026-06-18T17:30:33,433,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE002_920806.txt,success,text_scope=first_180_pages_of_433
康农种业,920403,W3-2024-BSE003_920403.pdf,pypdf,2026-06-18T17:30:45,339,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE003_920403.txt,success,text_scope=first_180_pages_of_339
许昌智能,920496,W3-2024-BSE004_920496.pdf,pypdf,2026-06-18T17:30:55,359,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE004_920496.txt,success,text_scope=first_180_pages_of_359
海昇药业,920656,W3-2024-BSE005_920656.pdf,pypdf,2026-06-18T17:31:05,297,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE005_920656.txt,success,text_scope=first_180_pages_of_297
铁拓机械,920706,W3-2024-BSE006_920706.pdf,pypdf,2026-06-18T17:31:17,403,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE006_920706.txt,success,text_scope=first_180_pages_of_403
戈碧迦,920438,W3-2024-BSE007_920438.pdf,pypdf,2026-06-18T17:37:00,450,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE007_920438.txt,success,text_scope=first_180_pages_of_450
芭薇股份,920123,W3-2024-BSE008_920123.pdf,pypdf,2026-06-18T17:37:05,468,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE008_920123.txt,success,text_scope=first_180_pages_of_468
无锡鼎邦,920931,W3-2024-BSE009_920931.pdf,pypdf,2026-06-18T17:37:13,299,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE009_920931.txt,success,text_scope=first_180_pages_of_299
万达轴承,920002,W3-2024-BSE010_920002.pdf,pypdf,2026-06-18T17:37:22,377,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE010_920002.txt,success,text_scope=first_180_pages_of_377
太湖远大,920118,W3-2024-BSE011_920118.pdf,pypdf,2026-06-18T17:37:32,336,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE011_920118.txt,success,text_scope=first_180_pages_of_336
成电光信,920008,W3-2024-BSE012_920008.pdf,pypdf,2026-06-18T17:37:43,300,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE012_920008.txt,success,text_scope=first_180_pages_of_300
中草香料,920016,W3-2024-BSE013_920016.pdf,pypdf,2026-06-18T17:37:53,298,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE013_920016.txt,success,text_scope=first_180_pages_of_298
瑞华技术,920099,W3-2024-BSE014_920099.pdf,pypdf,2026-06-18T17:38:02,382,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE014_920099.txt,success,text_scope=first_180_pages_of_382
铜冠矿建,920019,W3-2024-BSE015_920019.pdf,pypdf,2026-06-18T17:38:11,395,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE015_920019.txt,success,text_scope=first_180_pages_of_395
科力股份,920088,W3-2024-BSE016_920088.pdf,pypdf,2026-06-18T17:38:21,381,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE016_920088.txt,success,text_scope=first_180_pages_of_381
科拜尔,920066,W3-2024-BSE017_920066.pdf,pypdf,2026-06-18T17:38:33,300,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE017_920066.txt,success,text_scope=first_180_pages_of_300
