company_name,stock_code,file_name,parser,parse_time,page_count,markdown_path,status,error_message
聚星科技,920111,W3-2024-BSE018_920111.pdf,pypdf,2026-06-18T17:38:43,334,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE018_920111.txt,success,text_scope=first_180_pages_of_334
万源通,920060,W3-2024-BSE019_920060.pdf,pypdf,2026-06-18T17:38:54,347,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE019_920060.txt,success,text_scope=first_180_pages_of_347
XD胜业电,920128,W3-2024-BSE020_920128.pdf,pypdf,2026-06-18T17:39:03,388,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE020_920128.txt,success,text_scope=first_180_pages_of_388
科隆新材,920098,W3-2024-BSE021_920098.pdf,pypdf,2026-06-18T17:39:07,360,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE021_920098.txt,success,text_scope=first_180_pages_of_360
林泰新材,920106,W3-2024-BSE022_920106.pdf,pypdf,2026-06-18T17:39:10,324,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE022_920106.txt,success,text_scope=first_180_pages_of_324
方正阀门,920082,W3-2024-BSE023_920082.pdf,pypdf,2026-06-18T17:39:14,381,outputs\week3_sample_outputs\parsed_texts\W3-2024-BSE023_920082.txt,success,text_scope=first_180_pages_of_381
迅安科技,920950,W3-2023-BSE001_920950.pdf,pypdf,2026-06-18T17:39:17,459,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE001_920950.txt,success,text_scope=first_180_pages_of_459
利尔达,920249,W3-2023-BSE002_920249.pdf,pypdf,2026-06-18T17:39:20,642,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE002_920249.txt,success,text_scope=first_180_pages_of_642
*ST康乐,920575,W3-2023-BSE003_920575.pdf,pypdf,2026-06-18T17:39:24,505,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE003_920575.txt,success,text_scope=first_180_pages_of_505
迪尔化工,920304,W3-2023-BSE004_920304.pdf,pypdf,2026-06-18T17:39:27,335,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE004_920304.txt,success,text_scope=first_180_pages_of_335
宁新新材,920719,W3-2023-BSE005_920719.pdf,pypdf,2026-06-18T17:39:31,376,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE005_920719.txt,success,text_scope=first_180_pages_of_376
瑞星股份,920717,W3-2023-BSE006_920717.pdf,pypdf,2026-06-18T17:39:35,324,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE006_920717.txt,success,text_scope=first_180_pages_of_324
博迅生物,920504,W3-2023-BSE007_920504.pdf,pypdf,2026-06-18T17:39:38,308,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE007_920504.txt,success,text_scope=first_180_pages_of_308
开特股份,920978,W3-2023-BSE008_920978.pdf,pypdf,2026-06-18T17:39:42,391,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE008_920978.txt,success,text_scope=first_180_pages_of_391
纳科诺尔,920522,W3-2023-BSE009_920522.pdf,pypdf,2026-06-18T17:39:46,322,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE009_920522.txt,success,text_scope=first_180_pages_of_322
莱赛激光,920363,W3-2023-BSE010_920363.pdf,pypdf,2026-06-18T17:39:50,298,outputs\week3_sample_outputs\parsed_texts\W3-2023-BSE010_920363.txt,success,text_scope=first_180_pages_of_298
