stock_code,company_short,market,selected_time_point,shareholder_count,top1_ratio_pct,top3_ratio_pct,hhi,effective_shareholder_count,broad_pevc_holder_count,broad_pevc_ratio_sum_pct,dispersion_level,analysis_note
001282,三联锻造,主板,t0/报告期初,6,26.91,80.45,0.236097,4.236,2,17.63,中等集中,使用Week9筛选后的最新可求和快照。
603418,友升股份,主板,2022-12-19增资后,17,61.99,81.46,0.410079,2.439,5,21.68,较集中,使用Week9筛选后的最新可求和快照。
301563,云汉芯城,创业板,2020年9月D+轮增资及第四次股权转让后（IPO前最终结构）,34,33.03,56.5,0.149691,6.68,13,37.56,中等集中,使用Week9筛选后的最新可求和快照。
301581,黄山谷捷,创业板,整体变更为股份公司后,6,51.87,84.84,0.348871,2.866,3,82.52,较集中,使用Week9筛选后的最新可求和快照。
688758,赛分科技,科创板,,,,,,,,,比例披露不足,未找到可用于比例分析的快照，保持空值。
688775,影石创新,科创板,t2/2023年3月股权转让后,26,29.9376,52.6616,0.133955,7.465,1,0.625,中等集中,使用Week9筛选后的最新可求和快照。
920100,三协电机,北交所,发行前（截至招股说明书签署日）,19,62.97,91.62,0.445208,2.246,2,13.77,较集中,使用Week9筛选后的最新可求和快照。
920116,星图测控,北交所,发行前-招股说明书签署日,7,46.36,85.91,0.313513,3.19,3,61.12,较集中,使用Week9筛选后的最新可求和快照。
