stock_code,company_short,market,subscription_records,snapshot_records,transfer_records,total_records,week8_p1_items,week9_closed_items,week9_unresolved_p1_items
001282,三联锻造,主板,13,23,0,36,0,0,0
603418,友升股份,主板,13,32,0,45,0,0,0
301563,云汉芯城,创业板,35,129,1,165,0,0,0
301581,黄山谷捷,创业板,3,21,0,24,5,5,0
688758,赛分科技,科创板,10,316,0,326,2,2,0
688775,影石创新,科创板,0,81,1,82,0,0,0
920100,三协电机,北交所,17,19,0,36,0,0,0
920116,星图测控,北交所,6,13,2,21,0,0,0
