company_name,stock_code,prospectus_url,file_name,download_time,status,source,file_size,error_message
北京海博思创科技股份有限公司,688411,https://static.cninfo.com.cn/finalpage/2025-01-22/1222389596.PDF,W2-STAR001_688411.pdf,2026-06-13T23:44:18,success,local_cache,12488882,
湖北兴福电子材料股份有限公司,688545,https://static.cninfo.com.cn/finalpage/2025-01-17/1222355547.PDF,W2-STAR002_688545.pdf,2026-06-13T23:44:18,success,local_cache,6801464,
思看科技(杭州)股份有限公司,688583,https://static.cninfo.com.cn/finalpage/2025-01-10/1222285798.PDF,W2-STAR003_688583.pdf,2026-06-13T23:44:19,success,local_cache,13361126,
厦门恒坤新材料科技股份有限公司,688727,https://static.cninfo.com.cn/finalpage/2025-11-13/1224802223.PDF,W2-STAR004_688727.pdf,2026-06-13T23:44:19,success,local_cache,7565586,
北京屹唐半导体科技股份有限公司,688729,https://static.cninfo.com.cn/finalpage/2025-07-03/1224068769.PDF,W2-STAR005_688729.pdf,2026-06-13T23:44:19,success,local_cache,9736348,
江苏汉邦科技股份有限公司,688755,https://static.cninfo.com.cn/finalpage/2025-05-13/1223528584.PDF,W2-STAR006_688755.pdf,2026-06-13T23:44:19,success,local_cache,7788397,
胜科纳米(苏州)股份有限公司,688757,https://static.cninfo.com.cn/finalpage/2025-03-20/1222846384.PDF,W2-STAR007_688757.pdf,2026-06-13T23:44:19,success,local_cache,6967416,
苏州赛分科技股份有限公司,688758,https://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,W2-STAR008_688758.pdf,2026-06-13T23:44:19,success,local_cache,8485662,
广州必贝特医药股份有限公司,688759,https://static.cninfo.com.cn/finalpage/2025-10-23/1224726268.PDF,W2-STAR009_688759.pdf,2026-06-13T23:44:19,success,local_cache,11224436,
武汉禾元生物科技股份有限公司,688765,https://static.cninfo.com.cn/finalpage/2025-10-20/1224719933.PDF,W2-STAR010_688765.pdf,2026-06-13T23:44:19,success,local_cache,7505801,
影石创新科技股份有限公司,688775,https://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,W2-STAR011_688775.pdf,2026-06-13T23:44:19,success,local_cache,10047657,
西安奕斯伟材料科技股份有限公司,688783,https://static.cninfo.com.cn/finalpage/2025-10-22/1224723727.PDF,W2-STAR012_688783.pdf,2026-06-13T23:44:19,success,local_cache,8172737,
北京昂瑞微电子技术股份有限公司,688790,https://static.cninfo.com.cn/finalpage/2025-12-11/1224867086.PDF,W2-STAR013_688790.pdf,2026-06-13T23:44:19,success,local_cache,16214297,
摩尔线程智能科技(北京)股份有限公司,688795,https://static.cninfo.com.cn/finalpage/2025-11-28/1224831699.PDF,W2-STAR014_688795.pdf,2026-06-13T23:44:19,success,local_cache,12699836,
百奥赛图(北京)医药科技股份有限公司,688796,https://static.cninfo.com.cn/finalpage/2025-12-04/1224848797.PDF,W2-STAR015_688796.pdf,2026-06-13T23:44:19,success,local_cache,10467955,
沐曦集成电路(上海)股份有限公司,688802,https://static.cninfo.com.cn/finalpage/2025-12-11/1224867078.PDF,W2-STAR016_688802.pdf,2026-06-13T23:44:19,success,local_cache,10621741,
宁波健信超导科技股份有限公司,688805,https://static.cninfo.com.cn/finalpage/2025-12-19/1224886206.PDF,W2-STAR017_688805.pdf,2026-06-13T23:44:19,success,local_cache,5564945,
厦门优迅芯片股份有限公司,688807,https://static.cninfo.com.cn/finalpage/2025-12-12/1224870082.PDF,W2-STAR018_688807.pdf,2026-06-13T23:44:20,success,local_cache,5834735,
强一半导体(苏州)股份有限公司,688809,https://static.cninfo.com.cn/finalpage/2025-12-25/1224897120.PDF,W2-STAR019_688809.pdf,2026-06-13T23:44:20,success,local_cache,5612878,
