stock_code,company_short,market,subscription_records,snapshot_records,transfer_records,total_records,broad_pevc_records,pdf_page_coverage,evidence_coverage
001282,三联锻造,主板,13,23,0,36,8,100.0,100.0
603418,友升股份,主板,13,32,0,45,14,100.0,100.0
301563,云汉芯城,创业板,35,129,1,165,87,100.0,100.0
301581,黄山谷捷,创业板,3,21,0,24,12,100.0,100.0
688758,赛分科技,科创板,10,316,0,326,22,100.0,100.0
688775,影石创新,科创板,0,81,1,82,3,100.0,100.0
920100,三协电机,北交所,17,19,0,36,4,100.0,100.0
920116,星图测控,北交所,6,13,2,21,7,100.0,100.0
