stock_code,company_short,market,has_vc_or_pe,vc_record_count,pe_record_count,broad_pevc_record_count,broad_pevc_record_share,pevc_intensity_level,distinct_investor_type_count,transfer_event_count,week8_p1_item_count,week9_closed_p1_count,week9_unresolved_p1_count,top1_ratio_pct,top3_ratio_pct,hhi,effective_shareholder_count,broad_pevc_holder_count,broad_pevc_ratio_sum_pct,dispersion_level,week9_research_note,pevc_record_share_decimal,broad_pevc_ratio_decimal,top1_ratio_decimal,hhi_percent,pevc_strength_index,pre_ipo_dispersion_index,pevc_strength_z,dispersion_z,caution_flag,analysis_sample_flag,board_group,is_主板,is_创业板,is_科创板,is_北交所,invalid_ratio_timepoints,blank_ratio_timepoints,usable_ratio_timepoints,quality_gate
001282,三联锻造,主板,1,4,0,8,22.22,低,4,0,0,0,0,26.91,80.45,0.236097,4.236,2.0,17.63,中等集中,可用于描述性统计,0.2222,0.1763,0.2691,23.61,20.169,4.236,-0.352208,0.038899,0,1,Main,1,0,0,0,0,0,6,通过
603418,友升股份,主板,1,0,14,14,31.11,中,3,0,0,0,0,61.99,81.46,0.410079,2.439,5.0,21.68,较集中,可用于描述性统计,0.3111,0.2168,0.6199,41.008,33.315,2.439,0.310232,-0.884336,0,1,Main,1,0,0,0,0,0,4,通过
301563,云汉芯城,创业板,1,49,14,87,53.05,高,5,1,0,0,0,33.03,56.5,0.149691,6.68,13.0,37.56,中等集中,可用于描述性统计,0.5305,0.3756,0.3303,14.969,67.135,6.68,2.014454,1.29454,0,1,GEM,0,1,0,0,0,0,6,通过
301581,黄山谷捷,创业板,0,0,0,12,50.0,高,3,0,5,5,0,51.87,84.84,0.348871,2.866,3.0,82.52,较集中,部分历史时点比例未披露,0.5,0.8252,0.5187,34.887,41.923,2.866,0.743997,-0.664958,1,1,GEM,0,1,0,0,1,0,4,通过
688758,赛分科技,科创板,1,0,22,22,6.75,低,3,0,3,2,0,,,,,,,比例披露不足,存在比例合计异常时点，已在派生统计剔除,0.0675,,,,4.725,,-1.130446,,1,0,STAR,0,0,1,0,1,0,0,谨慎使用
688775,影石创新,科创板,1,0,3,3,3.7,低,3,1,0,0,0,29.9376,52.6616,0.133955,7.465,1.0,0.625,中等集中,可用于描述性统计,0.037,0.00625,0.299376,13.395,4.898,7.465,-1.121728,1.697845,0,1,STAR,0,0,1,0,1,0,3,通过
920100,三协电机,北交所,1,4,0,4,11.11,低,2,0,0,0,0,62.97,91.62,0.445208,2.246,2.0,13.77,较集中,可用于描述性统计,0.1111,0.1377,0.6297,44.521,12.392,2.246,-0.744098,-0.983492,0,1,BSE,0,0,0,1,0,0,1,通过
920116,星图测控,北交所,0,0,0,7,36.84,中,4,2,0,0,0,46.36,85.91,0.313513,3.19,3.0,61.12,较集中,可用于描述性统计,0.3684,0.6112,0.4636,31.351,32.711,3.19,0.279796,-0.498498,0,1,BSE,0,0,0,1,0,0,3,通过
