sample_id,company_name,stock_code,exchange,board,listing_date,ipo_year,source_platform,source_page_url,prospectus_title,prospectus_url,prospectus_version,prospectus_date,download_status,parse_status,locate_status,extract_status,review_status,notes
W3-2024-BSE011,太湖远大,920118,BSE,北交所,2024-08-22,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920118,太湖远大:招股说明书,https://www.bse.cn/disclosure/2024/2024-08-09/1723199304_455800.pdf,正式稿,2024-08-09,success,success,success,success,revise,北交所Week3样本；证券简称=太湖远大；地区=浙江省；行业=橡胶和塑料制品业；保荐机构=招商证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE012,成电光信,920008,BSE,北交所,2024-08-29,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920008,成电光信:招股说明书,https://www.bse.cn/disclosure/2024/2024-08-16/1723796660_838279.pdf,正式稿,2024-08-16,success,success,success,success,revise,北交所Week3样本；证券简称=成电光信；地区=四川省；行业=计算机、通信和其他电子设备制造业；保荐机构=广发证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE013,中草香料,920016,BSE,北交所,2024-09-13,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920016,中草香料:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2024/2024-08-30/1725017664_266165.pdf,正式稿,2024-08-30,success,success,success,success,revise,北交所Week3样本；证券简称=中草香料；地区=安徽省；行业=化学原料和化学制品制造业；保荐机构=民生证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE014,瑞华技术,920099,BSE,北交所,2024-09-25,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920099,瑞华技术:招股说明书,https://www.bse.cn/disclosure/2024/2024-09-06/1725619244_825140.pdf,正式稿,2024-09-06,success,success,success,success,revise,北交所Week3样本；证券简称=瑞华技术；地区=江苏省；行业=专业技术服务业；保荐机构=中信建投证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE015,铜冠矿建,920019,BSE,北交所,2024-10-11,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920019,铜冠矿建:招股说明书,https://www.bse.cn/disclosure/2024/2024-09-12/1726140978_749903.pdf,正式稿,2024-09-12,success,success,success,success,revise,北交所Week3样本；证券简称=铜冠矿建；地区=安徽省；行业=开采专业及辅助性活动；保荐机构=天风证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE016,科力股份,920088,BSE,北交所,2024-10-29,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920088,科力股份:招股说明书,https://www.bse.cn/disclosure/2024/2024-10-16/1729073664_569671.pdf,正式稿,2024-10-16,success,success,success,success,revise,北交所Week3样本；证券简称=科力股份；地区=新疆维吾尔自治区；行业=开采专业及辅助性活动；保荐机构=东莞证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE017,科拜尔,920066,BSE,北交所,2024-10-31,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920066,科拜尔:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2024/2024-10-18/1729245991_542173.pdf,正式稿,2024-10-18,success,success,success,success,revise,北交所Week3样本；证券简称=科拜尔；地区=安徽省；行业=橡胶和塑料制品业；保荐机构=国元证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE018,聚星科技,920111,BSE,北交所,2024-11-11,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920111,聚星科技:招股说明书,https://www.bse.cn/disclosure/2024/2024-10-25/1729850545_432948.pdf,正式稿,2024-10-25,success,success,success,success,revise,北交所Week3样本；证券简称=聚星科技；地区=浙江省；行业=电气机械和器材制造业；保荐机构=国投证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE019,万源通,920060,BSE,北交所,2024-11-19,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920060,万源通:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2024/2024-11-06/1730889849_088507.pdf,正式稿,2024-11-06,success,success,success,success,revise,北交所Week3样本；证券简称=万源通；地区=江苏省；行业=计算机、通信和其他电子设备制造业；保荐机构=兴业证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE020,XD胜业电,920128,BSE,北交所,2024-11-29,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920128,胜业电气:招股说明书,https://www.bse.cn/disclosure/2024/2024-11-14/1731576503_844407.pdf,正式稿,2024-11-14,success,success,success,success,revise,北交所Week3样本；证券简称=XD胜业电；地区=广东省；行业=电气机械和器材制造业；保荐机构=申万宏源证券承销保荐有限责任公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
